Transaction;Tanggal;Items
125008731;Januari 30, 2025;ENTROSTOP HERBAL DEWASA 15 ML, ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008752;Januari 30, 2025;ENTROSTOP HERBAL DEWASA 15 ML, PROMAG HERBAL 15 ML, CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG JRK SCH, CEREBROFORT MG STRAW SCH, CEREBROFORT M.G. TROPICAL FRUIT, XONCE TAB BOX 50'S
125008764;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008771;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008775;Januari 30, 2025;KOMIX HERBAL JERUK NIPIS, KOMIX HERBAL 15 ML, KOMIX HERBAL ORI PACK, ENTROSTOP HERBAL ANAK, PROMAG SUSPENSI BTL 60 ML, PROMAG HERBAL 15 ML, SKT ACTIV SIRUP 300 ML, ENTROSTOP 10'S, SAKATONIK ABC ANGGUR30TAB
125008778;Januari 30, 2025;KALPANAX SALEP 6G/12, KOMIX HERBAL 15 ML, SAKATONIK ABC ANGGUR30TAB
125008779;Januari 30, 2025;BEJO JAHE MERAH HERBAL 12 SC, PROMAG TABLET
125008787;Januari 30, 2025;SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB
125008797;Januari 30, 2025;MIXAGRIP FLU &BATUK PE, PROCOLD FLU BATUK PE
125008805;Januari 30, 2025;KOMIX HERBAL ORI PACK, KOMIX OBH PE
125008827;Januari 30, 2025;CEREBROFORT GOLD ORANGE 100 ML, PROCOLD FLU PE
125008834;Januari 30, 2025;CEREBROFORT MG JRK SCH, CEREBROFORT MG STRAW SCH
125008836;Januari 30, 2025;KOMIX HERBAL 15 ML, WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 100 ML
125008838;Januari 30, 2025;CEREBROFORT GOLD STRAWBERY, KOMIX HERBAL 15 ML, WOODS EXPECTORANT 60 ML
125008850;Januari 30, 2025;EJ SPORT GEL ORANGE 5 TB, EXTRA JOSS SPORT 5 TB
125008858;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008859;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008860;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008861;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008862;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008864;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008865;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008866;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008867;Januari 30, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC ORANGE 30TAB
125008869;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008890;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008894;Januari 30, 2025;FATIGON SPIRIT BOX 10X6S, SAKATONIK ABC STRAW 30TAB
125008906;Januari 30, 2025;KALPANAX K CREAM 5 GR, PROMAG TABLET
125008909;Januari 30, 2025;ENTROSTOP HERBAL ANAK, B7 SLASI JERUK NIPIS 12'S
125008913;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008914;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008919;Januari 30, 2025;BEJO JAHE MERAH HERBAL 12 SC, EXTRA JOSS ACTIVE 12SCH, MIXAGRIP HERBAL GREGES
125008945;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008946;Januari 30, 2025;WOODS COUGH SYR ATT  60ML, MIXAGRIP FLU KAPLET 25X4
125008947;Januari 30, 2025;KALPANAX SALEP 6G/12, PROMAG SUSPENSI BTL 60 ML, PROMAG HERBAL 15 ML, PROMAG TABLET
125008948;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125008955;Januari 30, 2025;WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 100 ML
125008959;Januari 30, 2025;ENTROSTOP HERBAL ANAK, ENTROSTOP 10'S, PROCOLD FLU PE, PROMAG TABLET
125008961;Januari 30, 2025;KALPANAX SALEP 6G/12, WOODS EXPECTORANT 100 ML
125008963;Januari 30, 2025;BEJO JAHE MERAH HERBAL 12 SC, PROMAG SUSPENSI BTL 60 ML
125008971;Januari 30, 2025;CEREBROFORT GOLD STRAWBERY, FATIGON SPIRIT BOX 10X6S
125008980;Januari 30, 2025;KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, PROMAG SUSPENSI BTL 60 ML, PROMAG HERBAL 15 ML, PROMAG TABLET
125009013;Januari 30, 2025;KALPANAX K CREAM 5 GR, ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, PROMAG SUSPENSI 10ML/6
125009014;Januari 30, 2025;BEJO JAHE MERAH HERBAL 12 SC, KOMIX HERBAL JERUK NIPIS, KOMIX HERBAL PEPPERMINT, SKT ACTIV SIRUP 100 ML
125009015;Januari 30, 2025;B7 SLASI JERUK NIPIS 12'S, KALPANAX K CREAM 5 GR, CEREBROFORT GOLD ORANGE 200 ML
125009020;Januari 30, 2025;KOMIX HERBAL JERUK NIPIS, KOMIX HERBAL PEPPERMINT
125009024;Januari 30, 2025;KOMIX HERBAL JERUK NIPIS, KOMIX HERBAL 15 ML, ENTROSTOP 10'S
125009090;Januari 30, 2025;KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX OBH
125009095;Januari 30, 2025;KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, PROMAG SUSPENSI 10ML/6
125009097;Januari 30, 2025;KOMIX HERBAL PEPPERMINT, ENTROSTOP HERBAL ANAK, PROMAG HERBAL 15 ML
125009163;Januari 30, 2025;MIXAGRIP FLU KAPLET 25X4, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB, SKT ABC CURCUMA MADU
125009168;Januari 30, 2025;BEJO JAHE MERAH HERBAL 12 SC, KOMIX HERBAL 15 ML
125009171;Januari 30, 2025;KALPANAX K CREAM 5 GR, WOODS COUGH SYR ATT  60ML
125009176;Januari 30, 2025;MIXAGRIP FLU &BATUK PE, PROCOLD FLU BATUK PE
125009185;Januari 30, 2025;PUYER OSK BT NO.16/BOX, WOODS COUGH SYR ATT 100ML, WOODS EXPECTORANT 60 ML, FATIGON KAPLET 10X6S, FATIGON SPIRIT BOX 10X6S
125009186;Januari 30, 2025;PROMAG SUSPENSI BTL 60 ML, SKT ACTIV SIRUP 300 ML
125009228;Januari 30, 2025;FATIGON KAPLET 10X6S, FATIGON SPIRIT BOX 10X6S, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB
125009244;Januari 30, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009252;Januari 30, 2025;KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, ENTROSTOP HERBAL ANAK, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML, WOODS NATURALS SYR 60 ML
125009282;Januari 30, 2025;CEREBROFORT MG STRAW SCH, SAKATONIK ABC ORANGE 30TAB
125009311;Januari 30, 2025;WOODS COUGH SYR ATT  60ML, PROCOLD FLU BATUK PE
125009314;Januari 30, 2025;KALPANAX K CREAM 5 GR, PROMAG SUSPENSI 10ML/6, PROMAG TABLET
125009316;Januari 30, 2025;PROMAG HERBAL 15 ML, CEREBROFORT M.G. AGGR SCH, FATIGON SPIRIT BOX 10X6S, SAKATONIK ABC STRAW 30TAB
125009321;Januari 30, 2025;KALPANAX SALEP 6G/12, PROMAG HERBAL 15 ML, CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG STRAW SCH, FATIGON SPIRIT BOX 10X6S, SAKATONIK ACTIV MULTIVIT ZAT BESI - KAPLET 6S, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB
125009322;Januari 30, 2025;BEJO JAHE MERAH HERBAL 6S MT, BEJO JAHE MERAH HERBAL 12 SC, EXTRA JOSS SPORT GEL 2 TB, KOMIX HERBAL 15 ML
125009323;Januari 30, 2025;KALPANAX K CREAM 5 GR, PROMAG SUSPENSI 10ML/6, WOODS EXPECTORANT 60 ML, ENTROSTOP 10'S, PROMAG TABLET
125009337;Januari 30, 2025;BEJO JAHE MERAH HERBAL 6S MT, BEJO JAHE MERAH HERBAL 12 SC, EXTRA JOSS SPORT GEL 2 TB, KOMIX HERBAL 15 ML, EXTRA JOSS ACTIVE 6 SCH
125009347;Januari 31, 2025;SKT ACTIV SIRUP 100 ML, WOODS LOZENGES 6'S
125009358;Januari 31, 2025;SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB, SKT ABC CURCUMA MADU
125009360;Januari 31, 2025;BEJO JAHE MERAH HERBAL 6S MT, BEJO JAHE MERAH HERBAL 12 SC
125009385;Januari 31, 2025;FATIGON KAPLET 10X6S, ENTROSTOP 10'S
125009386;Januari 31, 2025;KALPANAX K CREAM 5 GR, FATIGON KAPLET 10X6S
125009388;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009390;Januari 31, 2025;PROMAG SUSPENSI BTL 60 ML, WOODS COUGH SYR ATT 100ML, PROMAG TABLET, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB
125009395;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009396;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009397;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009398;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009399;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009401;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009402;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009403;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009407;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009408;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009409;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009410;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009411;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009412;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009413;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009414;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009415;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009416;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009417;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009418;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009419;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009420;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009421;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009422;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009463;Januari 31, 2025;PROCOLD FLU PE, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB
125009467;Januari 31, 2025;KOMIX HERBAL 15 ML, KALPANAX K CREAM 5 GR
125009484;Januari 31, 2025;CEREBROVIT XCEL 10 CAPS, KOMIX HERBAL JERUK NIPIS, KOMIX HERBAL 15 ML, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI BTL 60 ML, FATIGON KAPLET 10X6S
125009501;Januari 31, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY
125009504;Januari 31, 2025;BEJO ANAK JAHE MERAH 5S, BEJO JAHE MERAH HERBAL 12 SC, KOMIX HERBAL JERUK NIPIS, KOMIX HERBAL PEPPERMINT, B7 SLASI JERUK NIPIS 12'S, EXTRA JOSS GO RASA ANGGUR, EXTRA JOSS MANGGA LAKI
125009520;Januari 31, 2025;PROMAG SUSPENSI BTL 60 ML, PROMAG HERBAL 15 ML
125009523;Januari 31, 2025;CEREBROFORT GOLD ORANGE 100 ML, PROMAG TABLET
125009527;Januari 31, 2025;WOODS EXPECTORANT 100 ML, SAKATONIK ABC STRAW 30TAB, WOODS LOZENGES ORANGE VITAMIN C
125009558;Januari 31, 2025;BEJO JAHE MERAH HERBAL 6S MT, PUYER OSK BT NO.16/BOX, PROMAG TABLET, FATIGON KAPLET 10X6S, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB, WOODS LOZENGES 6'S
125009563;Januari 31, 2025;CEREBROVIT XCEL 10 CAPS, KOMIX HERBAL JERUK NIPIS, KOMIX HERBAL PEPPERMINT
125009567;Januari 31, 2025;WOODS EXPECTORANT 60 ML, PROMAG TABLET
125009569;Januari 31, 2025;PROMAG TABLET, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB
125009573;Januari 31, 2025;KOMIX HERBAL 15 ML, PROMAG SUSPENSI 10ML/6
125009576;Januari 31, 2025;PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009585;Januari 31, 2025;KOMIX HERBAL 15 ML, KOMIX HERBAL PEPPERMINT, CEREBROFORT MG JRK SCH, MIXAGRIP FLU KAPLET 25X4, ENTROSTOP 10'S, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB, SKT ABC CURCUMA MADU
125009586;Januari 31, 2025;KOMIX HERBAL JERUK NIPIS, KALPANAX K CREAM 5 GR, CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY, WOODS LOZENGES CHERRY 6'S, WOODS LOZENGES 6'S, WOODS LOZ HONEY LEMON
125009588;Januari 31, 2025;ENTROSTOP 10'S, SAKATONIK ABC STRAW 30TAB
125009624;Januari 31, 2025;SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB
125009641;Januari 31, 2025;CEREBROFORT GOLD ORANGE 100 ML, WOODS NATURALS SYR 60 ML, PROMAG TABLET
125009644;Januari 31, 2025;KOMIX HERBAL 15 ML, WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML
125009672;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009673;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009674;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009675;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009676;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009677;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009681;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009682;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009690;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
125009708;Januari 31, 2025;MIXAGRIP FLU KAPLET 25X4, PROCOLD FLU PE, PROMAG TABLET
125009747;Januari 31, 2025;BEJO ANAK JAHE MERAH 5S, BEJO JAHE MERAH HERBAL 12 SC, B7 SLASI JERUK NIPIS 12'S
125009759;Januari 31, 2025;ENTROSTOP HERBAL ANAK, KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX HERBAL PEPPERMINT, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML
