Transaction;Tanggal;Items
125000313;Januari 03, 2025;CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG MGA SCH, CEREBROFORT MG JRK SCH, CEREBROFORT MG STRAW SCH
125000318;Januari 03, 2025;PROMAG SUSPENSI BTL 60 ML, PROMAG HERBAL 15 ML, PROMAG TABLET, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ORANGE 30TAB
125000319;Januari 03, 2025;KALPANAX K CREAM 5 GR, CEREBROVIT XCEL 10 CAPS, WOODS COUGH SYR ATT  60ML, WOODS NATURALS SYR 60 ML, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB
125000356;Januari 03, 2025;PUYER OSK BT NO.16/BOX, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML, PROMAG TABLET
125000445;Januari 03, 2025;KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX OBH
125000460;Januari 03, 2025;B7 SLASI JERUK NIPIS 12'S, PROMAG TABLET, WOODS LOZENGES 6'S
125000463;Januari 03, 2025;KOMIX JAHE G-FORMULA BOX, KOMIX J.NIPIS G-FORMULA B, KOMIX OBH
125000472;Januari 03, 2025;BEJO JAHE MERAH HERBAL 6S MT, BEJO JAHE MERAH HERBAL 12 SC
125000475;Januari 03, 2025;ENTROSTOP 10'S, PROMAG TABLET
125000476;Januari 03, 2025;KOMIX HERBAL 15 ML, KALPANAX KRIM 10 GR, PROMAG HERBAL 15 ML, PROMAG TABLET, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB
125000484;Januari 03, 2025;KALPANAX K CREAM 5 GR, PROMAG SUSPENSI 10ML/6, WOODS EXPECTORANT 60 ML, ENTROSTOP 10'S, PROMAG TABLET
125000485;Januari 03, 2025;BEJO JAHE MERAH HERBAL 6S MT, BEJO JAHE MERAH HERBAL 12 SC, EXTRA JOSS SPORT GEL 2 TB, KOMIX HERBAL 15 ML
125000487;Januari 03, 2025;KALPANAX SALEP 6G/12, PROMAG HERBAL 15 ML, CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG STRAW SCH, FATIGON SPIRIT BOX 10X6S, SAKATONIK ACTIV MULTIVIT ZAT BESI - KAPLET 6S, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB
125000497;Januari 04, 2025;PROMAG SUSPENSI 10ML/6, ENTROSTOP 10'S
125000499;Januari 04, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD ORANGE 200 ML, CEREBROFORT GOLD STRAWBERY
125000513;Januari 04, 2025;KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, KALPANAX KRIM 10 GR, WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML
125000515;Januari 04, 2025;WOODS NATURALS SYR 60 ML, WOODS LOZENGES CHERRY 6'S, BEJO JAHE MERAH HERBAL 12 SC, EXTRA JOSS ACTIVE 6 SCH
125000521;Januari 04, 2025;WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB
125000522;Januari 04, 2025;WOODS COUGH SYR ATT  60ML, MIXAGRIP FLU KAPLET 25X4
125000536;Januari 04, 2025;CEREBROFORT GOLD STRAWBERY, MIXAGRIP FLU KAPLET 25X4
125000553;Januari 04, 2025;WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML
125000562;Januari 04, 2025;KOMIX OBH PE, PROMAG HERBAL 15 ML
125000567;Januari 04, 2025;KOMIX OBH PE, B7 SLASI JERUK NIPIS 12'S
125000569;Januari 04, 2025;PROMAG HERBAL 15 ML, PROMAG TABLET
125000576;Januari 04, 2025;BEJO JAHE MERAH HERBAL 12 SC, KOMIX HERBAL PEPPERMINT, KOMIX OBH PE, PROMAG TABLET, WOODS NATURALS SYR 60 ML
125000583;Januari 04, 2025;ENTROSTOP 10'S, PROMAG TABLET
125000600;Januari 04, 2025;CEREBROFORT MG STRAW SCH, SAKATONIK ABC ANGGUR30TAB
125000607;Januari 04, 2025;WOODS COUGH SYR ATT  60ML, FATIGON SPIRIT BOX 10X6S, ENTROSTOP 10'S
125000621;Januari 04, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY, CEREBROFORT M.G. TROPICAL FRUIT
125000624;Januari 04, 2025;PROMAG HERBAL 15 ML, PROMAG TABLET
125000635;Januari 04, 2025;KOMIX OBH PE, PROMAG HERBAL 15 ML
125000636;Januari 04, 2025;CEREBROFORT GOLD ORANGE 200 ML, SAKATONIK ABC ANGGUR30TAB
125000637;Januari 04, 2025;KOMIX KID STRAWBERRY PACK, KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX
125000650;Januari 04, 2025;KOMIX HERBAL 15 ML, PROMAG HERBAL 15 ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML, PROMAG TABLET
125000674;Januari 04, 2025;WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML
125000690;Januari 04, 2025;WOODS EXPECTORANT 60 ML, WOODS NATURALS SYR 60 ML
125000696;Januari 04, 2025;KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX OBH
125000709;Januari 04, 2025;MIXAGRIP FLU &BATUK PE, MIXAGRIP FLU KAPLET 25X4
125000726;Januari 04, 2025;KALPANAX K CREAM 5 GR, KALPANAX KRIM 10 GR, ENTROSTOP 10'S, PROMAG TABLET
